%%  seed (769) : [1629106838 1072886530 -17904409 1073009540 605804910 1073686347 876516458 1073050558 427874215 1073311450] ...  [1073507068 -550700992 1072962471 922832550 1072793213 -223741730 1962186939 -254293707 -465177325 377]
%%  rxid 		 txid 	 pdpid 	  doppler 	 PowerProfile(linear) 	 DelayProfile
889 	 12	 * 0.983953 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
889 	 15	 * 0.337364 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
889 	 17	 * 0.488792 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
889 	 16	 * 0.432251 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
890 	 5	 * 0.646471 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
890 	 3	 * 0.33283 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
890 	 6	 * 0.458282 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
890 	 4	 * 0.633982 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
893 	 15	 * 0.692708 *	1	3	[0.995333 0.00466735]	 [0 1]
893 	 10	 * 0.438011 *	1	3	[0.995333 0.00466735]	 [0 1]
893 	 9	 * 0.153988 *	1	3	[0.995333 0.00466735]	 [0 1]
893 	 11	 * 0.290724 *	1	3	[0.995333 0.00466735]	 [0 1]
915 	 12	 * 0.988998 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
915 	 13	 * 0.714779 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
915 	 14	 * 0.701197 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
915 	 326	 * 0.322083 *	1	3	[1]	 [0]
924 	 15	 * 0.590363 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
924 	 10	 * 0.804672 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
924 	 9	 * 0.745409 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
924 	 11	 * 0.184835 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
928 	 11	 * 0.594352 *	1	30	[0.995333 0.00466735]	 [0 1]
928 	 8	 * 0.308932 *	1	30	[0.995333 0.00466735]	 [0 1]
928 	 6	 * 0.812662 *	1	30	[0.995333 0.00466735]	 [0 1]
928 	 7	 * 0.951664 *	1	30	[0.995333 0.00466735]	 [0 1]
929 	 10	 * 0.4171 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
929 	 9	 * 0.0942186 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
929 	 15	 * 0.350289 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
929 	 11	 * 0.964075 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
934 	 18	 * 0.638232 *	1	30	[0.995333 0.00466735]	 [0 1]
934 	 8	 * 0.210403 *	1	30	[0.995333 0.00466735]	 [0 1]
934 	 16	 * 0.500879 *	1	30	[0.995333 0.00466735]	 [0 1]
934 	 13	 * 0.340582 *	1	30	[0.995333 0.00466735]	 [0 1]
938 	 14	 * 0.136713 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
938 	 10	 * 0.210277 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
938 	 11	 * 0.316055 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
938 	 9	 * 0.82428 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
939 	 9	 * 0.943551 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
939 	 19	 * 0.413499 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
939 	 15	 * 0.595685 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
939 	 11	 * 0.715596 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
951 	 20	 * 0.673959 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
951 	 5	 * 0.767073 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
951 	 4	 * 0.782922 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
951 	 3	 * 0.447678 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
960 	 6	 * 0.400847 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
960 	 2	 * 0.567684 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
960 	 8	 * 0.364134 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
960 	 7	 * 0.500579 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
961 	 1	 * 0.176445 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
961 	 14	 * 0.323504 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
961 	 13	 * 0.741834 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
961 	 12	 * 0.708042 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
967 	 7	 * 0.666285 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
967 	 2	 * 0.215351 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
967 	 16	 * 0.0469345 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
967 	 18	 * 0.479087 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
969 	 14	 * 0.776912 *	1	3	[1]	 [0]
969 	 8	 * 0.419653 *	1	3	[1]	 [0]
969 	 18	 * 0.325848 *	1	3	[1]	 [0]
969 	 13	 * 0.146783 *	1	3	[1]	 [0]
970 	 12	 * 0.739435 *	1	3	[0.995333 0.00466735]	 [0 1]
970 	 16	 * 0.650779 *	1	3	[0.995333 0.00466735]	 [0 1]
970 	 17	 * 0.968005 *	1	3	[0.995333 0.00466735]	 [0 1]
